[notice]
copyright[200]="Copyright Commonwealth of Australia 2015, Bureau of Meteorology. For more information see: http://www.bom.gov.au/other/copyright.shtml http://www.bom.gov.au/other/disclaimer.shtml"
copyright_url[80]="http://www.bom.gov.au/other/copyright.shtml"
disclaimer_url[80]="http://www.bom.gov.au/other/disclaimer.shtml"
feedback_url[80]="http://www.bom.gov.au/other/feedback"
[$]

[header]
refresh_message[80]="Issued at  1:31 pm EST Tuesday  7 April 2015"
ID[80]="IDV60901"
main_ID[80]="IDV60900"
name[80]="Melbourne (Olympic Park)"
state_time_zone[80]="VIC"
time_zone[80]="EST"
product_name[80]="Capital City Observations"
state[80]="Victoria"
[$]

[data]
sort_order,wmo,name[80],history_product[80],local_date_time[80],local_date_time_full[80],aifstime_utc[80],air_temp,apparent_t,cloud[80],cloud_base_m,cloud_oktas,cloud_type[80],cloud_type_id,delta_t,dewpt,gust_kmh,gust_kt,lat,lon,press,press_msl,press_qnh,press_tend[80],rain_trace[80],rel_hum,sea_state[80],swell_dir_worded[80],swell_height,swell_period,vis_km[80],weather[80],wind_dir[80],wind_spd_kmh,wind_spd_kt
0,95936,"Melbourne (Olympic Park)","IDV60901","07/01:30pm","20150407133000","20150407033000",13.5,12.6,"-",-9999,-9999,"-",-9999,0.5,12.6,15,8,-37.8,145.0,1012.9,1012.9,1012.9,"-","1.8",94,"-","-",-9999.0,-9999,"-","-","S",9,5
1,95936,"Melbourne (Olympic Park)","IDV60901","07/01:00pm","20150407130000","20150407030000",14.0,10.8,"-",-9999,-9999,"-",-9999,1.1,11.9,39,21,-37.8,145.0,1013.1,1013.1,1013.1,"-","0.2",87,"-","-",-9999.0,-9999,"-","-","SSE",20,11
2,95936,"Melbourne (Olympic Park)","IDV60901","07/12:30pm","20150407123000","20150407023000",16.4,13.4,"-",-9999,-9999,"-",-9999,3.1,10.5,33,18,-37.8,145.0,1012.9,1012.9,1012.9,"-","0.0",68,"-","-",-9999.0,-9999,"-","-","S",17,9
3,95936,"Melbourne (Olympic Park)","IDV60901","07/12:00pm","20150407120000","20150407020000",16.7,14.0,"-",-9999,-9999,"-",-9999,3.4,10.3,39,21,-37.8,145.0,1012.8,1012.8,1012.8,"-","0.0",66,"-","-",-9999.0,-9999,"-","-","S",15,8
4,95936,"Melbourne (Olympic Park)","IDV60901","07/11:30am","20150407113000","20150407013000",17.0,13.9,"-",-9999,-9999,"-",-9999,3.5,10.4,28,15,-37.8,145.0,1012.8,1012.8,1012.8,"-","0.0",65,"-","-",-9999.0,-9999,"-","-","S",17,9
5,95936,"Melbourne (Olympic Park)","IDV60901","07/11:00am","20150407110000","20150407010000",16.8,13.8,"-",-9999,-9999,"-",-9999,3.3,10.6,30,16,-37.8,145.0,1012.6,1012.6,1012.6,"-","0.0",67,"-","-",-9999.0,-9999,"-","-","S",17,9
6,95936,"Melbourne (Olympic Park)","IDV60901","07/10:30am","20150407103000","20150407003000",16.6,14.1,"-",-9999,-9999,"-",-9999,3.1,10.9,26,14,-37.8,145.0,1012.6,1012.6,1012.6,"-","0.0",69,"-","-",-9999.0,-9999,"-","-","SSE",15,8
7,95936,"Melbourne (Olympic Park)","IDV60901","07/10:00am","20150407100000","20150407000000",16.4,14.2,"-",-9999,-9999,"-",-9999,3.0,10.7,28,15,-37.8,145.0,1012.4,1012.4,1012.4,"-","0.0",69,"-","-",-9999.0,-9999,"-","-","SSE",13,7
8,95936,"Melbourne (Olympic Park)","IDV60901","07/09:30am","20150407093000","20150406233000",16.4,14.2,"-",-9999,-9999,"-",-9999,2.9,10.9,26,14,-37.8,145.0,1011.9,1011.9,1011.9,"-","0.0",70,"-","-",-9999.0,-9999,"-","-","SSE",13,7
9,95936,"Melbourne (Olympic Park)","IDV60901","07/09:00am","20150407090000","20150406230000",16.0,14.2,"-",-9999,-9999,"-",-9999,2.8,10.7,22,12,-37.8,145.0,1011.6,1011.6,1011.6,"-","0.0",71,"-","-",-9999.0,-9999,"-","-","S",11,6
